specimen_id,sweep_number,stim_mean,stim_max,stim_min,stim_std,stim_duration,stim_integral,stim_rise_time,spike_count,stim_onset,stim_offset,stim_symmetry,first_spike_latency,mean_isi,std_isi,baseline_vstd
525011903,7,0.3,100.0,0.0,5.4690037,0.003,0.3,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.08921246
525011903,8,0.6,200.0,0.0,10.938007,0.003,0.6,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.07285229
525011903,9,0.9,300.0,0.0,16.407011,0.003,0.89999986,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.14458099
525011903,10,1.2,400.0,0.0,21.876015,0.003,1.2,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.13591321
525011903,12,1.35,450.0,0.0,24.610514,0.003,1.3500001,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.087869495
525011903,13,1.4099998,469.99997,0.0,25.704311,0.003,1.4099996,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.0986103
525011903,14,1.4699998,489.99997,0.0,26.798117,0.003,1.47,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.11178261
525011903,16,1.4999999,499.99997,0.0,27.345016,0.003,1.5,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.0745657
525011903,17,1.5299999,509.99997,0.0,27.891916,0.003,1.5299999,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.07129023
525011903,18,1.56,520.0,0.0,28.43882,0.003,1.5599998,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.10928632
525011903,19,1.59,530.0,0.0,28.98572,0.003,1.5899999,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.11435423
525011903,20,1.62,540.0,0.0,29.53262,0.003,1.6199999,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.11268671
525011903,21,1.65,550.0,0.0,30.07952,0.003,1.6500002,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.1647164
525011903,22,1.68,560.0,0.0,30.626415,0.003,1.6799997,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.16163157
525011903,23,1.71,570.0,0.0,31.173323,0.003,1.7099999,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.070498854
525011903,24,1.74,580.0,0.0,31.720222,0.003,1.7400002,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.1290094
525011903,27,1.77,590.0,0.0,32.267117,0.003,1.7700002,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.07328855
525011903,29,1.77,590.0,0.0,32.267117,0.003,1.7700002,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.064788006
525011903,62,-0.1,200.0,-200.0,9.9995,0.0025,-0.099999994,0.022,0,1.022,1.8245,0.7805,,,,0.27048805
525011903,63,-0.1,200.0,-200.0,9.9995,0.0025,-0.099999994,0.022,0,1.022,1.8245,0.7805,,,,0.30397922
528642047,7,0.3,100.0,0.0,5.4690037,0.003,0.3,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.19809055
528642047,8,0.6,200.0,0.0,10.938007,0.003,0.6,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.2820274
528642047,10,0.74999994,249.99998,0.0,13.672508,0.003,0.75,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.2262373
528642047,15,0.78,260.0,0.0,14.21941,0.003,0.7799999,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.24476647
537256313,7,0.3,100.0,0.0,5.4690037,0.003,0.3,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.05056995
537256313,8,0.6,200.0,0.0,10.938007,0.003,0.6,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.092864595
537256313,9,0.9,300.0,0.0,16.407011,0.003,0.89999986,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.053162675
537256313,10,1.2,400.0,0.0,21.876015,0.003,1.2,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.069710575
537256313,11,1.4999999,499.99997,0.0,27.345016,0.003,1.5,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.06801286
537256313,12,1.8,600.0,0.0,32.814022,0.003,1.7999997,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.08327629
537256313,13,2.1,700.0,0.0,38.283028,0.003,2.1,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.062080637
537256313,16,2.19,730.0,0.0,39.923725,0.003,2.1899996,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.14740068
537256313,17,2.22,740.0,0.0,40.47063,0.003,2.2199998,0.02,0,1.02,1.023,-0.01700000000000011,,,,0.09810518
537256313,56,-0.1,200.0,-200.0,9.9995,0.0025,-0.099999994,0.022,0,1.022,1.8245,0.7805,,,,0.34979126
537256313,57,-0.1,200.0,-200.0,9.9995,0.0025,-0.099999994,0.022,0,1.022,1.8245,0.7805,,,,0.17906597
